,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
196,Kraft Heinz,KHC,$38.64 B,$31.46,0.51%,,🇺🇸 USA
197,General Motors,GM,$38.61 B,$28.20,3.07%,,🇺🇸 USA
198,Capital One,COF,$38.59 B,$101.29,0.75%,,🇺🇸 USA
199,Digital Realty,DLR,$38.46 B,$124.36,1.87%,,🇺🇸 USA
200,The Hershey Company,HSY,$38.31 B,$187.35,0.74%,,🇺🇸 USA
201,The Travelers Companies,TRV,$38.24 B,$167.44,1.17%,,🇺🇸 USA
202,"Archer Daniels Midland (ADM)
",ADM,$38.17 B,$71.57,0.21%,,🇺🇸 USA
203,Oneok,OKE,$37.98 B,$65.20,0.84%,,🇺🇸 USA
204,General Mills,GIS,$37.92 B,$65.24,0.63%,,🇺🇸 USA
205,Truist Financial,TFC,$37.82 B,$28.36,0.64%,,🇺🇸 USA
206,MSCI,MSCI,$37.29 B,$471.55,2.17%,,🇺🇸 USA
207,Centene,CNC,$36.84 B,$68.98,1.50%,,🇺🇸 USA
208,"Nucor
",NUE,$36.75 B,$147.79,0.78%,,🇺🇸 USA
209,Constellation Energy,CEG,$36.31 B,$112.92,0.10%,,🇺🇸 USA
210,Las Vegas Sands,LVS,$36.28 B,$47.46,0.75%,,🇺🇸 USA
211,"W. W. Grainger
",GWW,$36.22 B,$729.83,0.52%,,🇺🇸 USA
212,"AmerisourceBergen
",ABC,$36.14 B,$179.98,0.23%,,🇺🇸 USA
213,MPLX,MPLX,$36.08 B,$36.04,0.28%,,🇺🇸 USA
214,Kinder Morgan,KMI,$36.00 B,$16.20,0.43%,,🇺🇸 USA
215,Kenvue,KVUE,$35.61 B,$18.60,0.21%,,🇺🇸 USA
216,"D. R. Horton
",DHI,$35.31 B,$104.40,2.22%,,🇺🇸 USA
217,Halliburton,HAL,$35.21 B,$39.34,0.20%,,🇺🇸 USA
218,"Baker Hughes
",BKR,$34.87 B,$34.42,1.54%,,🇺🇸 USA
219,"The Trade Desk
",TTD,$34.78 B,$70.96,4.43%,,🇺🇸 USA
220,Biogen,BIIB,$34.40 B,$237.54,0.14%,,🇺🇸 USA
221,"Corteva
",CTVA,$34.16 B,$48.14,0.17%,,🇺🇸 USA
222,L3Harris Technologies,LHX,$34.00 B,$179.41,2.90%,,🇺🇸 USA
223,Dow,DOW,$33.90 B,$48.34,0.00%,,🇺🇸 USA
224,Yum! Brands,YUM,$33.86 B,$120.86,0.83%,,🇺🇸 USA
225,Dominion Energy,D,$33.73 B,$40.32,0.80%,,🇺🇸 USA
226,Realty Income,O,$33.58 B,$47.38,3.08%,,🇺🇸 USA
227,Electronic Arts,EA,$33.53 B,$123.79,2.04%,,🇺🇸 USA
228,Sysco,SYY,$33.52 B,$66.49,1.45%,,🇺🇸 USA
229,Allstate,ALL,$33.51 B,$128.13,2.12%,,🇺🇸 USA
230,Dupont De Nemours,DD,$33.45 B,$72.88,0.01%,,🇺🇸 USA
231,"Interactive Brokers
",IBKR,$33.37 B,$80.07,0.19%,,🇺🇸 USA
232,Waste Connections,WCN,$33.36 B,$129.50,0.28%,,🇺🇸 USA
233,Fastenal,FAST,$33.33 B,$58.34,0.19%,,🇺🇸 USA
234,Prudential Financial,PRU,$33.19 B,$91.44,0.84%,,🇺🇸 USA
235,IDEXX Laboratories,IDXX,$33.16 B,$399.47,0.78%,,🇺🇸 USA
236,IQVIA,IQV,$33.11 B,$180.83,2.07%,,🇺🇸 USA
237,Bank of New York Mellon,BK,$33.09 B,$42.50,0.38%,,🇺🇸 USA
238,Verisk Analytics,VRSK,$32.97 B,$227.36,1.28%,,🇺🇸 USA
239,Xcel Energy,XEL,$32.70 B,$59.27,0.90%,,🇺🇸 USA
240,Kroger,KR,$32.63 B,$45.37,0.93%,,🇺🇸 USA
241,Cognizant Technology Solutions ,CTSH,$32.55 B,$64.47,1.13%,,🇺🇸 USA
242,Ametek,AME,$32.47 B,$140.77,0.46%,,🇺🇸 USA
243,"Ameriprise Financial
",AMP,$31.89 B,$314.57,0.40%,,🇺🇸 USA
244,Palantir,PLTR,$31.84 B,$14.80,0.75%,,🇺🇸 USA
245,Otis Worldwide,OTIS,$31.59 B,$77.21,0.88%,,🇺🇸 USA
246,Veeva Systems,VEEV,$30.96 B,$192.71,1.28%,,🇺🇸 USA
247,PSEG,PEG,$30.77 B,$61.65,2.48%,,🇺🇸 USA
248,"Cummins
",CMI,$30.63 B,$216.30,0.62%,,🇺🇸 USA
249,Consolidated Edison,ED,$30.28 B,$87.79,0.35%,,🇺🇸 USA
250,GE HealthCare Technologies,GEHC,$30.27 B,$66.57,5.38%,,🇺🇸 USA
251,Agilent Technologies,A,$30.24 B,$103.37,2.17%,,🇺🇸 USA
252,"Rockwell Automation
",ROK,$30.18 B,$262.81,0.25%,,🇺🇸 USA
253,Lennar,LEN,$30.05 B,$106.68,2.07%,,🇺🇸 USA
254,"Ares Management
",ARES,$30.02 B,$98.59,2.79%,,🇺🇸 USA
255,CoStar Group,CSGP,$29.97 B,$73.41,3.70%,,🇺🇸 USA
256,"Devon Energy
",DVN,$29.83 B,$46.57,0.87%,,🇺🇸 USA
257,Newmont,NEM,$29.78 B,$37.47,3.18%,,🇺🇸 USA
258,DoorDash,DASH,$29.47 B,$74.95,2.38%,,🇺🇸 USA
259,LyondellBasell,LYB,$29.27 B,$90.24,0.40%,,🇺🇸 USA
260,Fidelity National Information Services,FIS,$29.09 B,$49.11,1.45%,,🇺🇸 USA
261,"PPG Industries
",PPG,$28.94 B,$122.77,0.78%,,🇺🇸 USA
262,"Moderna
",MRNA,$28.90 B,$75.96,2.55%,,🇺🇸 USA
263,"VICI Properties
",VICI,$28.86 B,$27.90,2.65%,,🇺🇸 USA
264,"Diamondback Energy
",FANG,$28.66 B,$160.32,1.19%,,🇺🇸 USA
265,Global Payments,GPN,$27.61 B,$106.22,2.33%,,🇺🇸 USA
266,"United Rentals
",URI,$27.53 B,$406.27,1.14%,,🇺🇸 USA
267,GlobalFoundries,GFS,$27.42 B,$49.62,0.58%,,🇺🇸 USA
268,Brown Forman,BF-A,$27.13 B,$57.42,1.32%,,🇺🇸 USA
269,"Cheniere Energy
",CQP,$26.98 B,$55.76,1.60%,,🇺🇸 USA
270,ON Semiconductor,ON,$26.97 B,$62.64,4.13%,,🇺🇸 USA
271,CDW Corporation,CDW,$26.86 B,$200.40,1.70%,,🇺🇸 USA
272,Datadog,DDOG,$26.47 B,$81.47,1.32%,,🇺🇸 USA
273,Gartner,IT,$26.17 B,$332.04,0.72%,,🇺🇸 USA
274,Dollar General,DG,$26.12 B,$119.04,0.74%,,🇺🇸 USA
275,Vulcan Materials,VMC,$26.10 B,$196.49,0.26%,,🇺🇸 USA
276,HP,HPQ,$26.02 B,$26.33,0.65%,,🇺🇸 USA
277,WEC Energy Group,WEC,$25.67 B,$81.39,0.26%,,🇺🇸 USA
278,Martin Marietta,MLM,$25.27 B,$408.94,0.95%,,🇺🇸 USA
279,Splunk,SPLK,$24.80 B,$147.16,0.03%,,🇺🇸 USA
280,MongoDB,MDB,$24.58 B,$344.59,2.47%,,🇺🇸 USA
281,Block,SQ,$24.55 B,$40.25,2.63%,,🇺🇸 USA
282,Dollar Tree,DLTR,$24.44 B,$111.09,1.13%,,🇺🇸 USA
283,Nasdaq,NDAQ,$24.36 B,$49.60,1.41%,,🇺🇸 USA
284,"Quanta Services
",PWR,$24.26 B,$167.12,1.43%,,🇺🇸 USA
285,"Edison International
",EIX,$24.17 B,$63.06,0.57%,,🇺🇸 USA
286,Ansys,ANSS,$24.15 B,$278.26,1.13%,,🇺🇸 USA
287,Warner Bros. Discovery,WBD,$23.92 B,$9.94,0.91%,,🇺🇸 USA
288,West Pharmaceutical,WST,$23.55 B,$318.29,0.49%,,🇺🇸 USA
289,AvalonBay Communities,AVB,$23.53 B,$165.74,1.90%,,🇺🇸 USA
290,Zscaler,ZS,$23.35 B,$158.69,1.20%,,🇺🇸 USA
291,Fortive,FTV,$22.94 B,$65.28,0.37%,,🇺🇸 USA
292,American Water Works,AWK,$22.90 B,$117.65,0.81%,,🇺🇸 USA
293,Corning,GLW,$22.83 B,$26.76,0.38%,,🇺🇸 USA
294,"Take 2 Interactive
",TTWO,$22.71 B,$133.75,0.30%,,🇺🇸 USA
295,"Extra Space Storage
",EXR,$22.63 B,$103.59,0.33%,,🇺🇸 USA
296,SBA Communications,SBAC,$22.61 B,$208.63,1.82%,,🇺🇸 USA
297,Xylem,XYL,$22.52 B,$93.54,4.78%,,🇺🇸 USA
298,Cardinal Health,CAH,$22.41 B,$91.00,0.04%,,🇺🇸 USA
299,"Church & Dwight
",CHD,$22.37 B,$90.94,0.20%,,🇺🇸 USA
300,The Hartford,HIG,$22.09 B,$73.45,1.12%,,🇺🇸 USA
301,Zimmer Biomet,ZBH,$21.81 B,$104.41,0.97%,,🇺🇸 USA
302,Royal Caribbean,RCL,$21.71 B,$84.73,1.32%,,🇺🇸 USA
303,Keysight,KEYS,$21.67 B,$122.05,1.93%,,🇺🇸 USA
304,"Mettler-Toledo
",MTD,$21.54 B,$985.20,2.37%,,🇺🇸 USA
305,HubSpot,HUBS,$21.19 B,$423.77,1.96%,,🇺🇸 USA
306,Monolithic Power Systems,MPWR,$21.16 B,$441.74,9.34%,,🇺🇸 USA
307,"CBRE Group
",CBRE,$21.13 B,$69.34,2.73%,,🇺🇸 USA
308,Tradeweb,TW,$21.12 B,$90.01,1.37%,,🇺🇸 USA
309,FICO,FICO,$21.02 B,$845.87,0.64%,,🇺🇸 USA
310,"Equity Residential
",EQR,$21.01 B,$55.33,1.60%,,🇺🇸 USA
311,Tractor Supply,TSCO,$20.95 B,$192.56,0.72%,,🇺🇸 USA
312,"Weyerhaeuser
",WY,$20.94 B,$28.69,0.49%,,🇺🇸 USA
313,Equifax,EFX,$20.89 B,$169.57,3.38%,,🇺🇸 USA
314,eBay,EBAY,$20.87 B,$39.23,1.53%,,🇺🇸 USA
315,ResMed,RMD,$20.77 B,$141.22,2.74%,,🇺🇸 USA
316,Coterra Energy,CTRA,$20.76 B,$27.50,0.62%,,🇺🇸 USA
317,Discover Financial Services,DFS,$20.52 B,$82.08,1.16%,,🇺🇸 USA
318,FirstEnergy,FE,$20.42 B,$35.60,0.56%,,🇺🇸 USA
319,VeriSign,VRSN,$20.38 B,$199.66,0.77%,,🇺🇸 USA
320,"T. Rowe Price
",TROW,$20.22 B,$90.50,0.53%,,🇺🇸 USA
321,Entergy,ETR,$20.21 B,$95.59,0.87%,,🇺🇸 USA
322,Pinterest,PINS,$20.14 B,$29.88,19.04%,,🇺🇸 USA
323,Delta Air Lines,DAL,$20.10 B,$31.25,0.06%,,🇺🇸 USA
324,"Broadridge Financial Solutions
",BR,$20.07 B,$170.64,0.69%,,🇺🇸 USA
325,"State Street Corporation
",STT,$19.94 B,$64.63,1.17%,,🇺🇸 USA
326,Raymond James,RJF,$19.93 B,$95.44,0.05%,,🇺🇸 USA
327,"First Citizens BancShares
",FCNCA,$19.90 B,"$1,381",0.58%,,🇺🇸 USA
328,"Ameren
",AEE,$19.89 B,$75.71,0.89%,,🇺🇸 USA
329,"DTE Energy
",DTE,$19.87 B,$96.38,0.07%,,🇺🇸 USA
330,"Brown & Brown
",BRO,$19.75 B,$69.42,0.99%,,🇺🇸 USA
